,Person,Hospital
105,邹先彪,解放军304医院
105,邹先彪,首都医科大学附属北京朝阳医院
105,邹先彪,史飞空军总医院
105,邹先彪,解放军总医院第一附属医院
105,邹先彪,中国人民解放军总医院
105,邹先彪,中国人民解放军304医院
105,邹先彪,解放军总医院第一附城医院
106,宋智琦,沈阳市第七人民医院
106,宋智琦,大连医科大学附属第一医院
107,陈敏亮,解放军总医院
108,齐向东,广州总医院
108,齐向东,广州军区总医院
109,申汶锡,广东省第二医院
110,王娜,米兰柏羽医学美容医院
111,陶敏,苏州大学附属第一医院
112,王启鸣,河南省肿瘤医院
113,莎 勇,江南大学附属医院
114,陆虹,附属仁济医院
115,李佳琪,附属上海市肺科医院
116,张海平,附属上海市肺科医院
117,汪进益,上海市东方医院
118,杨芝萍,嘉兴市第一医院
119,莫伟强,嘉兴市第二医院
120,张正华,复旦大学附属华山医院
120,张正华,旦大学附属华山医院
121,朱学骏,北京大学第一医院
121,朱学骏,华中科技大学同济医学院|附属协和医院
122,孙建方,皮肤病医院
122,孙建方,中国医学科学院皮肤病研究所皮肤病理研究室
122,孙建方,中国医学科学院皮肤病医院
122,孙建方,中国医学科学院皮肤病研究所
122,孙建方,浙江大学医学院附属第二医院
123,常建民,北京医院
123,常建民,常建民北京医院
123,常建民,卫生部北京医院
124,陈海波,北京医院
124,陈海波,哈尔滨市第一专科医院
124,陈海波,北京协和医院
125,王爱平,北京大学第一医院
126,李福秋,林大学第二医院
126,李福秋,吉林大学第二医院
127,茅翼亭,复旦大学附属华山医院
128,廖万清,第二军医大学长征医院
128,廖万清,海军军医大学附属长征医院
128,廖万清,上海长征医院
129,陈文,苏州大学附属第一医院
129,陈文,首都医科大学宣武医院
130,吴黎明,杭州市第一人民医院
130,吴黎明,粤北人民医院
130,吴黎明,附属杭州市第一人民医院
131,吴亚运,佛山市第二人民医院
132,徐聪聪,中国医学科学院皮肤病医院
133,王上上,复旦大学附属华山医院
134,陈洪晓,山东省临沂市人民医院
134,陈洪晓,临沂市人民医院
135,王俊霞,山西医科大学第二医院
136,朱振来,第四军医大学西京医院
137,刘文韬,湖北医药学院附属十堰市太和医院
138,樊平申,第三医院
138,樊平申,西京皮肤医院
139,潘跃银,安徽省肿瘤医院
139,潘跃银,中国科学技术大学附属第一医院
140,林陈石,荆州市第一人民医院
141,庄莉,云南省肿瘤医院
142,刘鑫,分子诊断中心
143,宋建勋,深圳市宝安区人民医院
144,赵仁亮,青岛大学附属医院
145,李翔,复旦大学附属华山医院
146,刘伟,苏州市中医院
146,刘伟,四川大学华西医院
146,刘伟,华西医院
146,刘伟,北京大学第一医院
147,赵玉沛,北京协和医院
148,许志强,中山黄海教授医院
149,彭英,中山大学孙逸仙纪念医院
150,洛翔,首都医科大学数民医院
151,陈唯唯,华中科技大学同济医学院附属同济医院
152,曲晶磊,中国医科大学附属第一医院
153,林丽珠,广州中医药大学第一附属医院
154,王树滨,北京大学深圳医院
154,王树滨,中国医学科学院肿瘤医院
155,曲秀娟,中国医科大学附属第一医院
155,曲秀娟,附属第一医院
156,刘哲峰,中国医科大学附属第一医院
156,刘哲峰,解放军总医院
157,王洁,中国医学科学院肿瘤医院
158,黄云超,云南省肿瘤医院
159,郑志忠,复旦大学附属华山医院
159,郑志忠,旦大学附属华山医院
159,郑志忠,上海）复旦大学附属华山医院
160,顾军,第二军医大学附属长海医院
160,顾军,上海长海医院
160,顾军,海军军医大学长海医院
160,顾军,第二军医大学长海医院
160,顾军,顾军长海医院
160,顾军,海军军医大学第一附属医院
161,晋红中,中国医学科学院北京协和医院
161,晋红中,北京协和医院
161,晋红中,齐鲁医院
162,孙青,香港大学深圳医院
162,孙青,山东大学齐鲁医院
162,孙青,齐鲁医院
163,王刚,山东大学齐鲁医院
163,王刚,空军军医大学西京皮肤医院
163,王刚,空军军医大学西京医院
163,王刚,第四军医大学西京皮肤医院
163,王刚,王刚西京医院
163,王刚,第四军医大学西京皮肤病医院
163,王刚,北京安定医院
163,王刚,浙江大学医学院附属第二医院
163,王刚,西京医院
164,刘晓明,第四军医大学西京皮肤医院
164,刘晓明,香港大学深圳医院
164,刘晓明,北京大学人民医院
165,史玉玲,同济大学附属第十人民医院
165,史玉玲,上海市皮肤病医院
165,史玉玲,同济大学附属皮肤病医院
165,史玉玲,上海市第十人民医院
165,史玉玲,第十人民医院
165,史玉玲,皮肤病专科医院
165,史玉玲,同济大学附第十人民医院
166,张福仁,山东省皮肤病医院
166,张福仁,山东省皮肤性病防治研究所
166,张福仁,山东第-医科大学附属皮肤病医院
166,张福仁,专科医院
166,张福仁,山东第一医科大学附属皮肤病医院
166,张福仁,东省皮肤病医院
166,张福仁,山东省皮肤病性病防治研究所
166,张福仁,附属皮肤病医院
167,杨斌,南方医科大学皮肤病医院
167,杨斌,皮肤病医院
167,杨斌,广东省皮肤病医院
167,杨斌,安微省儿童医院
168,陈翔,中南大学湘雅医院
168,陈翔,湘雅医院
169,吕成志,大连市皮肤病医院
169,吕成志,大连皮肤病医院
170,孔祥艳,北京军区总医院
171,宋晓健,武汉市妇女儿童医疗保健中心
172,崔跳军,四川大学华西医院
173,陈琦玲,北大人民医院
173,陈琦玲,北京大学人民医院
174,王秀丽,同济大学医学院，光医学研究所
174,王秀丽,海市皮肤病医院
174,王秀丽,上海市皮肤病医院
174,王秀丽,附属肿瘤医院
174,王秀丽,上海交通大学医学院附属瑞金医院
174,王秀丽,研究中心
174,王秀丽,德国慕尼黑大学激光研究所
175,王海燕,解放军总医院
176,李子明,解放军总医院
176,李子明,临床医学中心
176,李子明,漳州市医院
176,李子明,上海交通大学附属胸科医院
176,李子明,上海市胸科医院
176,李子明,莆田学院附属医院
177,王佳蕾,附属肿瘤医院
177,王佳蕾,复旦大学附属肿瘤医院
177,王佳蕾,鑫大医院
177,王佳蕾,美国M.D.Anderson肿瘤中心
178,于慧,复旦大学附属肿瘤医院
178,于慧,附属肿瘤医院
178,于慧,复旦大学附属，肿瘤医院
179,储天晴,上海交通大学附属胸科医院
179,储天晴,附属胸科医院
179,储天晴,上海市胸科医院
180,项铁,复旦大学附属，肿瘤医院
180,项铁,附属华山医院
181,来松涛,上海市肺科医院
181,来松涛,上海市中西医结合医院
182,罗洁,瑞金医院
183,李丹丹,首医附属北京友谊医院
184,李殿友,瑞金医院
184,李殿友,上海交通大学医学院附属瑞金医院
184,李殿友,上海交通大学附属瑞金医院
185,周海燕,瑞金医院
185,周海燕,山东省肿瘤医院
186,岳东升,天津市肿瘤医院
186,岳东升,天津市肿南医院
186,岳东升,天津医科大学肿瘤医院
186,岳东升,建医科大学肿瘤医院
187,唐淑琴雅培,四川西南司法鉴定中心
188,顾恒,中国医学科学院皮肤病医院
188,顾恒,中国医学科学院皮肤病研究所
188,顾恒,皮肤病医院
189,程媛媛,武汉市第一医院
190,颜峰,北京大学人民医院
191,胡文静,湖南省儿童医院
192,卢涛,西安国际医学中心医院
193,杨顶权,北京中日医院
193,杨顶权,北京中日友好医院
193,杨顶权,毛发医学中心
193,杨顶权,中日友好医院
193,杨顶权,附属第九人民医院
194,李诺,北京中日医院
194,李诺,毛发医学中心
194,李诺,中日友好医院
195,寇然,北京中日医院
196,孙玉萍,北京黄寺美容，外科医院
196,孙玉萍,外科医院
196,孙玉萍,北京黄寺整形外科医院
197,刘军,瑞金医院
197,刘军,上海交通大学医学院附属瑞金医院
197,刘军,解放军第四医院
197,刘军,复旦大学附属上海市第五人民医院
197,刘军,宣武医院
197,刘军,刘军（瑞金医院
198,武焱曼,徐州市中心医院
199,杜瀛瀛,安徽医科大学第一附属医院
200,陈利红,上海交通大学医学院附属瑞金医院
200,陈利红,附属瑞金医院
200,陈利红,浙江大学医学院附属第二医院
201,陆前进,中南大学皮肤性势研究所
201,陆前进,中国医学科学院皮肤病医院
201,陆前进,皮肤病医院
201,陆前进,中南大学湘雅二医院
202,何焱玲,首都医科大学附属北京朝阳医院
202,何焱玲,上海市第十人民医院
203,曾跃平,北京协和医院
203,曾跃平,中国医学科学院皮肤病医院
203,曾跃平,齐鲁医院
204,张旺明,广州珠江医院
204,张旺明,南方医科大学珠江医院
205,廖旭兴,广东佛山市一医院
206,李锋,潍坊市益都中心医院
207,孙长青,青-天津宝抵医院
208,卢荣加,福建省龙岩人民医院
209,王上桥,海南西部中心医院
210,刘翰文,赣州市立医院
211,王志勇,襄阳市中心医院
212,孙学志,益阳市中心医院
213,王亚明,宣武医院
214,赵卫红,中国人民解放军总医院
214,赵卫红,解放军总医院
215,傅芳萌,福建医科大学附属协和医院
216,戴燕,广东省中医院
217,唐利荣,北京安定医院
218,赵洪瑜,南通大学附属医院
219,杨仕林,20城华山医院
219,杨仕林,华山医院
219,杨仕林,复旦大学附属华山医院
219,杨仕林,20始华山医院
219,杨仕林,20婚华山医院
219,杨仕林,上海交通大学附属第一人民医院
219,杨仕林,中山医院
220,余子牛,附属第一医院
221,马鹏飞,郑州大学第一附属医院
222,董秀芹,广东省人民医院
223,崔淑,河南省人民医院
224,李霞,上海市精神卫生中心
224,李霞,上海交通大学医学院附属瑞金医院
224,李霞,附属瑞金医院
224,李霞,上海市精神卫生中心老年科
224,李霞,台湾林口长庚医院
224,李霞,上海交通，附属瑞金医院
225,张灣,山东省立医院
226,吴纪珍,大连医科大学附属中心医院
227,李明君,郑州大学第一附属医院
228,王生成,州市人民医院
228,王生成,？州市人民医院（市农居医院
229,王东,北京大学人民医院
230,陈办成,北京大学深圳医院
231,骆涛波,中国科学院大学附属肿留医院
232,王琪,浙江大学医学院附属第二医院
233,吕强,江苏省人民医院
234,谭兰,谭兰中国海洋大学附属医院青岛市立医院
234,谭兰,青岛市市立医院
235,文天夫,华西医院
235,文天夫,四川大学华西医院
236,李志平,华西医院
236,李志平,重庆西南医院
237,张成武,浙江省人民医院
238,李川,四川大学华西医院
239,王晓雯,北京大学第一医院
240,曹先伟,南昌大学第一附属医院
241,李春英,第四军医大学西京皮肤医院
241,李春英,空军军医大学西京皮肤医院
241,李春英,第四军医大学西京医院
241,李春英,南方医院
242,李天富,首都医科大学三博脑科医院
243,王玉平,首都医科大学宣武医院
243,王玉平,浙江省肿瘤医院
243,王玉平,静冈癫病中心
243,王玉平,人民医院
243,王玉平,首都医科大学附属宣武医院
243,王玉平,北京协和医院
243,王玉平,CAAE擦病中心规范化建设工作委员会
244,王梦阳,首都医科大学三博脑科医院
244,王梦阳,三博脑科医院
244,王梦阳,北京三博脑科医院
245,梅延,武汉大学中南医院
246,晓波,上海市同济大学附属东方医院
247,唐体,大连大学附属新华医院
248,简红,附属胸科医院
248,简红,上海交通大学附属胸科医院
248,简红,福建中医药大学附属第三人民医院
248,简红,上海市胸科医院
248,简红,天津医科大学总医院
248,简红,-上海胸科医院
248,简红,上海交通大学，附属胸科医院
249,韩一平,海军军医大学附属长海医院
249,韩一平,附属长海医院
250,倪健,附属上海市肺科医院
251,孟淑燕,附属上海市肺科医院
252,涂水平,附属仁济医院
253,王季颖,附属瑞金医院
254,陈巍,同济大学附属同济医院
255,郑玲,附属第九人民医院
255,郑玲,同济医院
255,郑玲,同济大学附属同济医院
255,郑玲,附属同济医院
256,申海弄,附属上海市肺科医院
256,申海弄,上海交大医学院附属第九人民医院
257,徐建芳,同济大学附属上海市肺科医院
257,徐建芳,上海市肺科医院
258,张建国,北京天坛医院
258,张建国,首都医科大学附属北京天坛医院
258,张建国,华中科技大学附属同济医院
258,张建国,天坛医院
259,张晋,乐山市人民医院
260,马庆春,北京大学人民医院
261,毛薇,首都医科大学宣武医院
261,毛薇,首都医科大学北京宣武医院
262,于洋,天津市环湖医院
263,李宝军,湖南省第二人民医院
264,贾旺,首都医科大学附属北京天坛医院
265,宋志强,陆军军医大学西南医院
265,宋志强,西南医院
265,宋志强,第三军医大学西南医院
265,宋志强,北京大学第三医院
266,李德龄,首都医科大学附属北京天坛医院
267,郭华,研究中心
267,郭华,山东省立医院
268,布文博,中国医学科学院皮肤病研究所
268,布文博,中国医学科学院皮肤病医院
269,刘洁,北京协和医院
269,刘洁,山东省皮肤病医院
269,刘洁,中国医学科学院北京协和医院
270,涂平,北京大学第一医院
271,张勇王,首医附属北京天坛医院
272,张子瑾,北京医院
273,王剑虹,复旦大学附属华山医院
274,石继海,包头医学院第一附属医院
275,李承新,解放军总医院
275,李承新,中国医学科学院皮肤病医院
275,李承新,中国人民解放军总医院
276,宋为民,华西医院
276,宋为民,-杭州颜术美容医院
276,宋为民,颜术医疗美容医院
277,童敏,华西医院
278,胡孟娇,华西医院
278,胡孟娇,长沙市第三医院
279,霍孟华,中国医学科学院整形外科医院
280,谢丽华,临汾市人民医院
281,宋雪,广东省中医院
282,梁红玲,广州医科大学附属，肿瘤医院
283,刘晓雁,广东省中医院
284,李洪胜,广州医科大学附属肿瘤医院
285,凌飞海,中山市人民医院
286,王小寅,广东省第二中医院
287,郑志鹏,广东省中医院
288,苏忠兰,江苏省人民医院
288,苏忠兰,工苏省人民医院
289,赖维,中山大学附属第三医院
290,李捷,中南大学湘雅医院
291,洪群英,夏旦大学附属中山医院
291,洪群英,复旦大学附属中山医院
291,洪群英,上海复旦大学附属中山医院
292,徐艳语,肿瘤医院
293,王晓丹,复旦大学附属中山医院
293,王晓丹,肿瘤医院
294,李卓哲,复旦大学附属中山医院
295,丁宁,复旦大学附属中山医院
296,顾喜喜,复旦大学附属中山医院
296,顾喜喜,附属中山医院
297,李晖,浙江省肿瘤医院
297,李晖,临汾市人民医院
298,徐艳君,中国科学院大学附属肿瘤医院
298,徐艳君,复旦大学附属中山医院
299,余俊,云南省红河州第三人民医院
300,汪浩,安徽医科大学第一附属医院
301,帕金森,北大医院
301,帕金森,立神经精神研究所
301,帕金森,医院神经内科
301,帕金森,首都医科大学属北京天坛医院
301,帕金森,北京天坛医院
301,帕金森,北京医院
301,帕金森,解放军总医院
301,帕金森,荷兰阿姆斯特丹医学中心
301,帕金森,上海交通大学医学院附属瑞金医院
301,帕金森,首都医科大学附属北京康复医院
301,帕金森,卓越成就臨床中心
301,帕金森,深圳大学总医院
301,帕金森,教育部学位中心
301,帕金森,王艺复旦大学附属华山医院
301,帕金森,第二附属医院
301,帕金森,北京老年医院
301,帕金森,运动障碍中心
301,帕金森,瑞，金医院
301,帕金森,神经病学研究所
301,帕金森,瑞金医院
301,帕金森,万新华北京协和医院
301,帕金森,山东大学齐鲁医院
301,帕金森,首都医科大学宣武医院
301,帕金森,化研究所
301,帕金森,英国伦敦国立医院
301,帕金森,美国神经病学研究所
301,帕金森,齐鲁医院
301,帕金森,XXx医院
301,帕金森,天津市环湖医院
301,帕金森,宣武医院
301,帕金森,中国人民解放军总医院
301,帕金森,帕金森中心
301,帕金森,冬雷脑科医院
301,帕金森,天坛医院
301,帕金森,麦克林医院
301,帕金森,牛津帕金森病中心
301,帕金森,山东省立医院
301,帕金森,沙中南大学湘雅医院
301,帕金森,苏闻北京医院
301,帕金森,中国医科大学附属第一医院
302,刘新平,邯郸市中心医院
303,于波,北京大学深圳医院
303,于波,医院皮肤科
304,刘红,山东省皮肤病医院
304,刘红,聊城市人民医院
304,刘红,医院发展论坛
305,汪肠,北京大学第一医院
306,赵小忠,小忠丽格医疗美容医院
306,赵小忠,空军总医院
307,齐显龙,小忠丽格医疗美容医院
308,虞永峰,大连医科大学附属第二医院
308,虞永峰,上海市胸科医院
308,虞永峰,上海交通大学附属，胸科医院
308,虞永峰,上海胸科医院
308,虞永峰,附属胸科医院
309,李颖,山东大学齐鲁医院
309,李颖,上海同济大学附属同济医院
310,谢洪智,北京协和医院
311,刘君,广州医科大学附属第一医院
312,车国卫,四川大学华西医院
313,陈铭伍,广西医科大学第一附属医院
314,王光锁,深圳市人民医院
315,韩笑乐,北京回龙观医院
316,邹海波,中日医院
316,邹海波,中日友好医院
317,沈永年,张家港第一人民医院
318,张云亭,天津医科大学总医院
319,陈薇,天津医科大学肿瘤医院
320,霍光辉,中国人民解放军第二五四医院
321,阿湿斯·布赞,北京儿童医院
322,杨森,四川大学华西医院
322,杨森,安徽医科大学第一附属医院
322,杨森,安徽医科大学第一医院
322,杨森,苏州大学附属独墅湖医院
323,李凌江,李凌江中南大学湘雅二医院
323,李凌江,中南大学湘雅二医院
324,于生元,中国人民解放军总医院
324,于生元,解放军总医院
325,张月华,北京大学第一医院
325,张月华,北京大学第一医院妇产儿童医院
325,张月华,北京大道第一医院
326,张玉琴,天津市儿童医院
327,黄绍平,西安交通大学附属第二医院
327,黄绍平,西安交通大学第二附属医院
327,黄绍平,西安交通大学第一对属医院
327,黄绍平,苏州儿童医院
327,黄绍平,西安交满大学第二附属医院
328,李岩,苏州大学附属儿童医院
328,李岩,厦门市妇幼保健医院
329,杨欣伟,空军军医大学西京医院
330,杨志仙,北京大学第一医院
331,陈蓓蓓,空军军医大学西京医院
332,贾福军,广东省精神卫生中心
332,贾福军,广东省人民医院
333,姜美俊,广东省人民医院
334,王文强,厦门市精神卫生中心
334,王文强,厦门市仙岳医院
335,周翼英,重庆医科大学附属第一医院
336,陈春富,山东省立医院
337,李明欣,山东大学齐鲁医院
338,董钊,中国人民解放军总医院
338,董钊,解放军总医院
339,陈玉,州大学附第二医院
340,邱长乐,武夷山市立医院
341,陈金灶,莆田市第一医院
342,李俊,罗源县医院
342,李俊,江苏省人民医院
343,袁勇勇,197号瑞金医院
343,袁勇勇,上海交通大学医学院附属瑞金医院
344,吴晔,北大医院
344,吴晔,北京大学第一医院
345,高峻,上海市杨思医院
346,郑跃,中山大学附属第三医院
347,阮洁明,余杭区中医院
348,李霖,浙大附属邵逸夫医院
349,夏常青,余杭区中医院
350,侯新丽,汉中市中心医院
351,薛晓英,涿州市医院
352,吴昕,上海市医疗急救中心医师
353,余新民,中国科学院大学附属肿瘤医院
353,余新民,浙江省肿瘤医院
354,牟海波,浙江大学医学院附属树兰医院
354,牟海波,树兰（杭州）医院
354,牟海波,牟海波树兰医院
355,石志永,中国科学院大学附属肿瘤医院
355,石志永,浙江省肿瘤医院
356,朱丽君,联勤保障部队第900医院
357,夏新雷,华山医院
358,张兴凯,上海瑞金医院
359,宋志,西南医院
360,毛之奇,中国人民解放军总医院
360,毛之奇,航天中心医院
361,姚志荣,上海新华医院
361,姚志荣,上海交通大学医学院附属新华医院
361,姚志荣,上海交通大学新华医院
362,蔡萧君,黑龙江省中医医院
363,周承志,广州医科大学附属第一医院
364,姚文秀,四川省肿瘤医院
365,陈元,华中科技大学同济医学院附属同济医院
366,章新安,景德镇市第二人民医院
367,刘隆,景德镇市第二人民医院
368,陈永锋,南方医科大学皮肤病医院
368,陈永锋,广东省皮肤病医院
368,陈永锋,广东省人民医院
369,王侠生,复旦大学华山医院
370,齐贵新,美国梅奥医院
371,张中兴,中国皮肤影像中心
372,郝秀原,中国皮肤影像中心
373,区伟,中山大学肿瘤防治中心
374,张嘉涛,广东省人民医院
375,孙新宇,北京大学第六医院
376,李淑华,卫生部北京医院
376,李淑华,北京医院
377,高敬华,沧州市中心医院
378,孔繁义,沧州市中心医院
379,王军,河北医科大学第四医院
379,王军,南方医科大学南方医院
379,王军,南方医院
380,孙良丹,安徽医科大学第一附属医院
381,朱可建,浙江大学医学院附属邵逸夫医院
381,朱可建,京大学第一医院
381,朱可建,浙江大学附属邵逸夫医院
382,王群,医院神经病学中心癫病科
382,王群,首都医科大学附属北京天坛医院
382,王群,北京天坛医院
382,王群,复旦大学附属中山医院
383,胡建斌,附属邵逸夫医院
384,唐磊,北京大学肿瘤医院
385,陈河汪勇,浙江大学医学院附属邵逸夫医院
386,赵作涛,北京大学第一医院
386,赵作涛,全球过敏与哮喘联盟欧洲网络（GA2LEN)尊麻疹中心
387,杨蓉娅,陆军总医院
387,杨蓉娅,解放军总医院
387,杨蓉娅,肤损伤修复研究所
387,杨蓉娅,北京陆军总医院
387,杨蓉娅,广州总医院
387,杨蓉娅,用研究中心
387,杨蓉娅,北京军区总医院
388,刘玮,空军总医院
388,刘玮,空军总院皮肤病医院
388,刘玮,北京空军总医院
388,刘玮,空军总医院皮肤病医院
388,刘玮,中国人民解放军空军特色医学中心
389,李大铁,云南华美美莱美容医院
390,曾维惠,西安交通大学第二附属医院
390,曾维惠,西安交通大学医学院第二附属医院
391,旅亮,山东大学齐鲁医院
392,梅丽莎,堪萨斯城圣卢克医院
393,朱遂强,静冈癫病中心
394,胡坚,附属第一医院
394,胡坚,浙江大学医学院附属第一医院
395,张毅,首都医科大学宣武医院
396,张春雷,史飞空军总医院
396,张春雷,北京大学第三医院
396,张春雷,深圳市儿童医院
397,刘跃华,北京协和医院
397,刘跃华,中国医学科学院北京协和医院
397,刘跃华,京协和医院
398,国叶红,中日友好医院
398,国叶红,中南大学湘雅医院
399,郭芸,昆明医科大学第二附属医院
400,陆舜,上海市胸科医院
400,陆舜,-上海胸科医院
400,陆舜,上海交通大学附属胸科医院
400,陆舜,海市胸科医院
401,郑翠侠,杨浦区中心医院
402,蒋华,常州市第二人民医院
403,张玉松,苏州大学附属第二医院
404,冯卫能,佛山市第一人民医院
405,江本元,广东省人民医院
406,易贞,微整形与年轻化中心
407,谢恒,微整形与年轻化中心
408,李慧忠,南方医科大学皮肤病医院
409,王辉,南方医科大学皮肤病医院
409,王辉,佛山市第一人民医院
409,王辉,北京协和医院
410,苏亮,广州华美美容医院
